sira,uc_adi,tarih_saat,tezgah,kisi,is_emri,siparis_no,match_type,matched_stock_name
85,PENTA 24R 100315D IC1008 ISCAR,,,,,,not_found,
86,PENTA 24R183-17276 IC908 ISCAR,,,,,,not_found,
87,SNMG 120408 MM5 WMP20S WALTER,,,,,,not_found,
88,SNMG 120408 TF IC907 ISCAR KALMADI WALTERE GEÇTİ,,,,,,not_found,
89,"TCMT 090204 HQ PV7025 KYOCERA TEDARİĞİNDE SIKINTI, HAVŞA TAKIMINA TAKMAK İÇİN BÜTÜN TCMT LER İÇİN",,,,,,not_found,
90,TNMG 160402 GP CA5525 KYOCERA,,,,,,not_found,
91,TNMG 160404 HQ CA5525 CERATYP,,,,,,not_found,
92,TNMG 160404 TF IC907 ISCAR,,,,,,not_found,
93,TNMG 160408 FG CT300 TEAGUTEC,,,,,,not_found,
94,TNMG 160408 GT CA5525 CERATYP,,,,,,not_found,
95,VNMG 12T302-NF IC907 ISCAR 500,,,,,,not_found,
96,VNMG 12T302-NF IC9150 ISCAR 2000,,,,,,not_found,
97,VNMG 12T302NF IC6015 1000,,,,,,not_found,
98,VNMG 12T304 NF IC530 ISCAR,,,,,,not_found,
99,VNMG 12T304 NF IC8150 ISCAR,,,,,,not_found,
100,VNMG 12T304-NF IC907 ISCAR,,,,,,not_found,
101,VNMG 12T308 NF IC8150 ISCAR,,,,,,not_found,
102,VNMG 12T308-NF IC907 ISCAR,,,,,,not_found,
103,VNMG 160402 HQ TN60 KYOCERA,,,,,,not_found,
104,VNMG 160402 TSF AH120 TUNGALOY,,,,,,not_found,
105,VNMG 160404 NF IC8150 ISCAR,,,,,,not_found,
106,VNMG 160408 HQ CA5525 CERATYP,,,,,,not_found,
107,VNMG 160408 PB3 AC250P ACHTECK,,,,,,not_found,
108,VBMT 110304 HQ CA5525 KYOCERA,,,,,,not_found,
109,VBMT 160404 HQ CA5525 KYOCERA,,,,,,not_found,
110,VCGT 110302 AK H01 KORLOY,,,,,,not_found,
111,VCGT 110304 AK H01 KORLOY,,,,,,not_found,
112,VCGT 160404 ALU AK10 ARNO,,,,,,not_found,
113,VCMT 110302 SM IC908 ISCAR,,,,,,not_found,
114,VCMT 110304 SM IC908 ISCAR,,,,,,not_found,
115,VCMT 160404 SM IC907 ISCAR,,,,,,not_found,
116,WNGU 080608 MM4 AP301U ACHTECK,,,,,,not_found,
117,WNMG 060408 F3P IC8250 ISCAR,,,,,,not_found,
118,WNMG 06T308 TF IC8150 ISCAR,,,,,,not_found,
119,WNMG 080408 IC8150 ISCAR 8250 YERİNE,,,,,,not_found,
120,WNMG 080408 F3P IC8250 ISCAR,,,,,,not_found,
121,WNMG 080408 M IC806 ISCAR,,,,,,not_found,
122,WNMG 080408 TF IC907 ISCAR,,,,,,not_found,
123,WNMG 080412 GN IC8150 ISCAR,,,,,,not_found,
124,WNMG 080412 GN IC8250 ISCAR,,,,,,not_found,
125,WNMG 080412 MPP10 G WALTER,,,,,,not_found,
126,WNMU 040308 RS ZR0160 ZER-MAX,,,,,,not_found,
127,WNMX 080712 HTW IC8150 ISCAR 8250 YERİNE,,,,,,not_found,
128,WNMX 080712 HTW IC8250 ISCAR,,,,,,not_found,
129,XCMT 040102 R-DB IC908 ISCAR ECOCART,,,,,,not_found,
130,XCMT 050204 DB IC908 ISCAR,,,,,,not_found,
131,XCMT 060204 MF IC908 ISCAR,,,,,,not_found,
132,XCMT 080304 DB IC908 ISCAR,,,,,,not_found,
133,XCMT 100T304 R-DB IC908 ISCAR,,,,,,not_found,
134,XCMT 130404 MF IC908 ISCAR,,,,,,not_found,
135,XCMT 130408 KT 5320 KORTA,,,,,,not_found,
136,XCMT 170508 MF IC908 ISCAR,,,,,,not_found,
137,WCMT 03T308 H6240 ACP300 SUMITOMO,,,,,,not_found,
138,WCMT 04T308 H6240 ACP300 SUMITOMO,,,,,,not_found,
139,WCMT 05T308 H6240 ACP300 SUMITOMO,Fri Mar 06 2026 12:32:00 GMT+0300 (GMT+03:00),CT-26,,150061,41222,exact,WCMT 05T308 H6240 ACP300 SUMITOMO
140,WCMT 06T308 H6240 ACP300 SUMITOMO,,,,,,not_found,
141,WCMX 030208FN KP1215 WESTORN,,,,,,not_found,
142,WCMX 080412FN KP1315 WESTORN,,,,,,not_found,
